"","D1d0","D1d1","D1d2","D1d4","D1d5","D1d6","D1d7","D1d8","D1d9","D1d10","D1d11","D1d12","D1d13","D1d14","D1d15","D1d16","D1d17","D1d18","D1d21","D1d26","D1d28","D1d30","D1d32","D1d35","D1d42","D1d49","D1d56","D1d65","D1d74","D1d81","D1d87"
"1-Propanol, 3-(methylthio)-",0,0,0,0,0,0,0.003461216,0,0.0302847465,0.116752403333333,0.173233584,0.187262031,0.390243520233333,0.336645154666667,1.636669285,1.05614089233333,0.590671177,0.24430325,0.0332931740666667,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propanone, 1-phenyl-",0,0,0,0,0,0,0,0,0,0,0.00541312266666667,0.00376066933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propene, 2-(1-methylethoxy)",0,0,0,0,0,0,0,0.0243585944333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propene, 2-methyl-",0,0,0,0.0275089769,0,0,0.094630865,0.0550835369333333,0,0.147293964666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Tetradecene",0,0,0,0,0,0,0.006408261,0,0,0,0,0,0,0,0,0,0.0355103686666667,0.0117527296666667,0,0,0.0237090694666667,0,0,0,0,0,0,0,0,0,0
"1-Tridecene",0,0,0,0,0,0,0,0,0.021890451,0,0,0.0232509073333333,0.0343580255333333,0.0248936863333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1-Ethanediol, diacetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180793426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1,1-Trifluoro-2-propanol",0,0,0,0,0,0,0,0,0.105672907,0,0,0,0,0,0,0,0.0948993106666667,0,0,0,0,0.0578226876,0,0.0329139315333333,0,0,0,0,0,0,0
"1,1,1,4,4,4-Hexafluorobut-2-ene",0.0190063453333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323653213333333,0,0,0,0,0,0,0,0,0.0100691091,0,0,0,0,0,0,0
"1,1'-Biphenyl, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00228211783333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,12-Tridecadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190202234,0,0,0,0,0
"1,13-Tetradecadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301554023333333,0.11979345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Butanediol",0,0,0,0,0,0,0,0,0,0,0,0.117887613,0,0,0,0,0.071804954,0.0497485693333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Dibutoxyethane",0,0,0,0,0,0,0,0,0,0,0,0,0.0145766413666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Dithiolane",0,0,0,0,0,0,0.002655928,0.00156307433333333,0.0037227625,0.00395810066666667,0,0.002864383,0.00512460846666667,0.00482556033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediamine, N,N,N'-trimethyl-",0,0,0,0,0,0,0,0.0280269963666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-",0,0,0,0,0,0.2107239905,0.1026711,0.183322529666667,0,0,0.404788719,0.558058191666667,0,0,0,0,0.238772433,0.0972323366666667,0.2326009185,0.357724899033333,0.173026634833333,0,0,0,0,0,0.259466942766667,0,0,0,0
"1,2-Ethanediol",0,0,0,0,0,0.0114328571666667,0,0,0,0.138492117333333,0,0.410589692,0.185604036033333,0.219207862,0,0,0.842023420666667,0.361311540333333,0,0,0,0.0114171096666667,0,0,0,0.663937038066667,0,0,0,0,0
"1,2,3-Trifluorobenzene",0,0,0,0,0,0,0.0109411685,0,0,0,0,0,0,0,0,0,0,0.012304414,0,0.006126444,0,0,0,0,0.0143139017333333,0,0,0,0,0,0
"1,2,4-Trifluorobenzene",0,0.0546818976666667,0,0,0,0,0,0,0,0,0,0.0467590523333333,0,0,0,0,0,0,0,0,0,0,0,0,0.1128828483,0,0,0,0.0691143270666667,0,0.0062010188
"1,2,4-Trithiolane",0,0,0,0,0,0,0,0.0018593529,0.002302439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4,5-Tetrazin-3-amine, 6-methyl-",0,0,0,0,0,0,0.04011115,0,0,0,0,0,0,0,0,0,0.0172979846666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268560278,0,0,0,0,0,0,0
"1,2,5-Thiadiazole",0,0,0,0,0,0,0.029777945,0,0.043660153,0.0162932696666667,0.032931947,0.024266744,0.0239436990333333,0,0.214715187666667,0.0212293213333333,0,0.010190336,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,5-Trimethylpyrrole",0,0,0,0,0,0,0,0,0,0,0,0,0.00323102326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Cyclopentadiene, 1-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00401010923333333,0,0,0,0,0.002648223,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Diazine",0,0,0,0,0,0.0205061495333333,0.2017529,0,0.4844937355,0.399099247666667,0.353889357666667,0.208490612,0.388791961,0.308789082333333,1.21437101433333,0.112862333666667,0.115951507,0,0.0088546355,0,0,0,0,0,0,0.0153385462666667,0,0,0,0,0
"1,3-Dioxolane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00494829643333333,0,0,0,0
"1,3-Dioxolane, 2-(4-methoxyphenyl)-2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274986959,0,0,0,0,0
"1,3-Dioxolane, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060182705,0,0.078301292,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Octadiene",0,0.00995192066666667,0,0.0051080479,0,0,0,0,0.0112845815,0,0,0,0,0,0.0213136733333333,0,0,0,0,0.00454924383333333,0,0,0.006423263,0,0,0,0,0,0,0,0
"1,3-Oxathiane",0,0,0,0,0,0,0,0,0,0.008515889,0.013427425,0,0,0.0286914796666667,0.115522382666667,0.058234084,0.0953475933333333,0.0864441713333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Pentadiene",0,0,0,0,0,0,0,0,0,0,0.125628958333333,0,0,0.0911541123333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Propanediol",0,0,0,0,0,0,0,0,0,0,0,0.226057857333333,0.528676796766667,0.426813731,0.822281827,0.927599595666667,1.15737716966667,0.564947831,0.323961740733333,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Propanediol, diacetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821054346666667,0.085658277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,2-Dioxaborolan-4-one, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109585433666667,0,0,0,0,0.0031873024
"1,3,5-Triazine",0,0,0,0,0,0,0.124861415,0,0.517875605,0.0747312833333333,0,0.061171406,0.0783892056666667,0.048926196,1.019864649,0.282015902666667,0.0688776123333333,0,0,0,0,0,0,0,0,0,0.00737094866666667,0,0,0,0
"1,3,5-Triazine, hexahydro-1,3,5-trimethyl-",0,0,0,0,0,0,0,0,0,0,0.00604550233333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,5-Trifluorobenzene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40450449653333,0,0,0,0,0
"1,3,6-Octatriene, 3,7-dimethyl-",0,0,0,0,0,0,0.0054199665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,6-Trioxocane, 2-methyl-",0,0,0,0,0,0.0057913495,0.0129796815,0.0100206647333333,0.0151716125,0.015774629,0.0205872463333333,0.0123847043333333,0,0.0112231893333333,0.0407812616666667,0,0.0206067633333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Cyclohexadiene, 1-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307411163333333,0,0,0,0,0
"1,4-Dioxane",0,0,0.0910927778666667,0.0747624436333333,0,0,0,0,0,0,0,0,0,0,0.081125006,0.0610008793333333,0,0,0,0.0313196233,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dioxin, 2,3-dihydro-",0,0,0.00749196756666667,0,0,0.00363045673333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Pentadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392426363333333,0
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338894544,0,0,0,0
"1H-Indene, 1-ethylidene-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00698527566666667,0,0,0,0.0210790106666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Indole-2-carbonitrile, 1-[2-(dimethylamino)ethyl]-",0,0,0,0,0,0,0.042153485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Indole, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.025919426,0.0735318366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Isoindole-1,3(2H)-dione, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.0411994076666667,0.015078063,0.0217120859333333,0.00456448266666667,0.010263452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Pyrazole, 1,3,5-trimethyl-",0,0,0,0,0,0,0,0,0,0.103376063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole-2-ethanamine, 1-methyl-",0,0,0,0,0,0,0.017880725,0,0,0,0.0748415636666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-methyl-",0,0,0,0,0,0,0.012880815,0.00762352563333333,0.017850285,0,0,0.0116253466666667,0,0,0.0446844136666667,0.0143016216666667,0.016534541,0,0,0,0.1292162195,0.0856947985333333,0.0122385866666667,0.0170310139333333,0.0027288296,0.0946485192666667,0.00390550156666667,0,0,0,0
"1H-Pyrrole, 1-pentyl-",0,0,0,0,0,0,0.004260358,0,0,0.0103851776666667,0.00669464333333333,0.00565081466666667,0.0135678988666667,0.0138521173333333,0.0354865026666667,0,0,0,0.0112148445666667,0,0,0,0,0,0,0.0112016088666667,0,0,0,0,0
"1H-Pyrrole, 2-methyl-",0,0,0,0.0025438023,0,0,0,0,0,0.0272903606666667,0.0214619013333333,0.0279771443333333,0.0309862446,0.022546255,0.0484860856666667,0.02462473,0,0,0,0,0,0,0,0.00799649883333333,0,0.0722536756333333,0,0,0,0,0
"1H-Pyrrole, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.161203723933333,0,0.161179587,0.043652759,0,0,0,0,0.0655852473333333,0,0,0,0,0.0521376764666667,0,0,0,0,0
"1H-Tetrazole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038399775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Acetyl-1-pyrroline",0,0,0,0,0,0,0,0,0,0.012884452,0,0.00789236766666667,0.0122194705,0,0.04416445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butanol",0,0,0,0.0193232902,0,0.451631649233333,0,0,0,0.228051553666667,0.600803472333333,0.433792063333333,2.41777577103333,1.076176833,0,0,1.44832035766667,0,2.2079201579,0,6.24140208213333,0.7686363451,0.530107742,0.4983035713,0.1599139733,0,0,0,0,0.0324297055333333,0.0893769672666667
"2-Butanone",0,0,0,0,0,0,0,0.7896761605,0,0,0,0,1.51244441053333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butanone, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0.753381473,0,0,0,2.36453752866667,0.299658761333333,0.450105627333333,0.435701597333333,0.714505871333333,0.366753060933333,0,0.171017182733333,0,0,0,0,0,0,0,0,0
"2-Butanone, 3,3-dimethyl-",0,0.0131408216666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270746833333333,0,0,0,0,0,0,0,0
"2-Butenal",0,0,0,0,0,0,0,0.0037540118,0.010164361,0,0,0,0,0,0,0,0,0,0,0,0.0847392547,0,0,0,0,0.0208394862666667,0.0035107418,0,0,0,0
"2-Butenal, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275996703333333,0.0234653716666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butenal, 2-methyl-",0,0,0,0,0,0.0024923606,0,0.0044301911,0.0285342145,0.039426799,0.025633951,0,0,0.0542297733333333,0,0,0.066719067,0.031426969,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butenal, 3-methyl-",0,0,0,0,0,0,0.009324409,0.00857258633333333,0.026327631,0,0.0342565663333333,0.028529486,0.0458191545,0,0.128806195666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butene",0,0,0,0,0,0,0,0,0.0928588175,0,0.226138943666667,0,0,0,0,0,0,0,0,0.126853380066667,0,0,0,0,0,0,0,0,0,0,0
"2-Butene, 2-methyl-",0.059103097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butenoic acid, ethyl ester",0,0,0,0,0,0,0,0.00271156356666667,0.007986232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butylcyclopenanone",0,0,0,0,0,0,0,0,0,0.00488280833333333,0.00459452,0.003582274,0.00815042703333333,0.006381788,0.0139844676666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Chloroethanol",0,0,0.4230442681,0.0599939924666667,0.5058123776,0,0.9055186,0,0.9502301735,1.00133379733333,3.41232523,2.09128126766667,2.3103566912,1.88741292733333,5.84324267133333,4.61173535,3.17988565066667,2.06098208733333,1.089304103,0,0,0.7690887682,0,0.3816523791,0,2.59761966236667,0,0.197154548233333,0,0,0
"2-Cyclohexen-1-one",0,0,0,0,0,0.00271678753333333,0,0.00201763673333333,0,0,0,0,0,0.045272005,0,0.0362711636666667,0.0366031046666667,0,0,0,0,0,0,0,0.00208390503333333,0,0,0,0,0,0
"2-Cyclohexen-1-one, 3-methyl-",0,0,0,0,0,0,0,0,0,0.004159521,0,0,0.0057853666,0.00587980866666667,0,0,0,0,0,0,0,0,0,0,0,0.0135972259666667,0,0,0,0,0
"2-Cyclohexene-1-methanol, 2,6,6-trimethyl-",0,0,0,0,0,0,0.0051029025,0.00215940803333333,0.006604396,0.008062144,0.00711678633333333,0,0.00856307976666667,0,0.029873626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one",0,0,0,0,0,0,0.0030697775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.00485036166666667,0,0,0,0,0.00413683833333333,0.008933831,0,0.00534073123333333,0,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663143333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Decanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046342027,0.0150184383333333,0,0,0.0176092578333333,0,0.0924883123333333,0,0,0,0,0,0,0,0,0,0
"2-Decenal",0,0,0,0,0,0,0,0,0.010638386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
