"","foot1_SS2","foot1_SS3","foot1_SS4","foot1_SS5","foot1_SS6","foot2_SS2","foot2_SS3","foot2_SS4","foot2_SS5","foot2_SS6","foot3_SS5","foot3_SS6","foot4_SS5","foot4_SS6","foot5_SS2","foot5_SS3","foot5_SS4","foot5_SS5","foot5_SS6","foot6_SS5","foot6_SS6","foot7_SS5","foot7_SS6","foot8_SS4","foot8_SS5","foot8_SS6","foot9_SS4","foot9_SS5","foot9_SS6"
"1-Propanol, 3-(methylthio)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.016011745,0,0,0,0,0,0,0,0,0,0,0.0126165923333333,0.021929551,0.0241778437,0.0875946706,0.195983932333333
"1-Propanone, 1-phenyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015773875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propen-2-ol, acetate",0,0,0,0,0,0.0233233782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propen-2-ol, formate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119076312,0,0
"1-Propene, 2-methoxy-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188206282,0,0,0,0,0.1758966713,0,0.532676415533333,0,0,0.115506794233333,0,0,0.1605243111,0
"1-Propene, 2-methyl-",0,0,0,0,0,0,0,0,0,0.2094103846,0.094318111,0.0447791356666667,0.0986345861,0.067559214,0.0095922255,0,0,0,0,0,0,0,0,0,0,0,0,0.0964253401666667,0
"1-Undecanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019770033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Undecene",0,0,0,0,0,0,0.714489579933333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Undecene, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568169341666667,0,0,0,0,0,0,0
"1-Undecene, 7-methyl-",0,0,0,0,0,0,0,0,0,0,0,0.025813122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",0,0,0,0,0,0,0,0,0,0.01497783455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1-Dichloro-1-fluoroethane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016538098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1-Dimethoxy-2-phenylpropane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022051575,0,0,0
"1,1,1,4,4,4-Hexafluorobut-2-ene",0,0,0,0,0,0,0.0136756105333333,0,0.049544122,0.01012982315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145980355,0,0,0
"1,1,2,3,4,4,4-Heptafluoro-3-(trifluoromethyl)but-1-ene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1,4,5,6-Pentamethyl-2,3-dihydro-1H-indene",0,0,0,0,0.0070908575,0,0,0,0,0.00758510985,0,0.00962286466666667,0,0.014230585,0,0.0023457789,0,0,0.00607501545,0,0.0045409715,0,0,0,0,0.0040551615,0,0,0.0132955386666667
"1,1'-Bicyclobutyl",0,0,0,0,0,0,0,0,0.00533428066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 2-methyl-",0,0,0,0,0,0.0030050613,0.0019521719,0,0,0.0135194649,0.0013821388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005291623,0,0,0
"1,1'-Biphenyl, 2,2'-diethyl-",0,0,0,0,0,0.0013015122,0,0,0,0,0,0,0,0,0.0004506503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 2,2',5,5'-tetramethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0021870019,0,0,0,0,0,0,0,0,0,0,0,0.00276084083333333,0,0,0,0
"1,1'-Biphenyl, 3-methyl-",0,0,0,0,0,0.0021424146,0,0,0,0,0,0,0,0,0,0.00530231566666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 3,4-diethyl-",0,0,0,0,0,0.00222632435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 4-methyl-",0,0.0103638803333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 4,4'-difluoro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010600284,0,0,0,0,0,0,0,0,0.0008409243,0,0,0,0,0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140660669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid, dihexyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004040332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenediol, o-(4-methoxybenzoyl)-o'-(2,2,3,3,4,4,4-heptafluorobutyryl)-",0,0,0,0,0,0,0,0,0,0.27355571675,0.01118316235,0,0,0,0,0,0,0,0,0,0,0.00768614296666667,0,0,0,0,0,0,0.0453979843333333
"1,2-Butanediol",0,0,0,0,0,0,0,0,0,0.0087953088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Cyclopentanedione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604059275,0,0,0,0,0,0,0,0,0,0
"1,2-Dipropylcyclopropene",0,0.0184670453333333,0,0,0,0,0,0.00750965833333333,0,0,0,0.190203707666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediamine, N,N-diethyl-N',N'-dimethyl-",0,0,0,0,0,0,0,0,0,0.00372797395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-",0,0,0,0,0,0,0,0,0,0.12688874305,0,0,0.10002081865,0,0,0,0,0,0,0,0,0,0,0,0,0.0273281685,0,0,0
"1,2-Ethanediol",0,0,0,0,3.04541201915,0,0,0,0.185563664,0,0,0,0,0,0,0,0,0,1.18855094145,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediol, diformate",0,0,0,0.0076387905,0.0128471261,0,0,0,0,0.0180620109,0,0.0133747346666667,0.00271928205,0.0366874136666667,0,0,0,0,0.0090829416,0,0,0,0,0,0,0.012762414,0,0.00274476193333333,0.0250314036666667
"1,2-Ethanediol, monoacetate",0,0,0,0,0.0210449661,0,0,0,0.00605987566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181651475,0,0,0.0297190526666667
"1,2-Ethanediol, monoformate",0,0,0,0,0,0,0.0126946684,0,0.0307930426666667,0,0.0023764899,0,0,0.451769949666667,0,0,0,0,0.0684715071,0,0,0,0,0,0,0,0,0,0.289078306
"1,2-Propanediol, 1-acetate",0,0,0,0,0,0,0,0,0,0,0,0,0.00627628055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trifluoro-4-trifluoromethylbenzene",0,0,0,0,0,0,0,0,0,0.0667437632,0,0,0,0,0.0248033485,0,0,0.132140304,0,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trifluorobenzene",0,0,0,0,0,0,0,0,0,0.03374615785,0,0,0,0,0.0006211743,0,0,0,0,0,0,0,0.024950013,0,0,0,0.0486569775,0,0
"1,2,4-Metheno-1H-cyclobuta[cd]pentalene, octahydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001739582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Metheno-1H-indene, octahydro-1,7a-dimethyl-5-(1-methylethyl)-, [1S-(1α,2α,3aβ,4α,5α,7aβ,8S*)]-",0,0,0,0.0414020146666667,0,0,0,0,0.0275038246666667,0,0,0.0213182606666667,0,0.0352139473333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Methenoazulene, decahydro-1,5,5,8a-tetramethyl-, [1S-(1α,2α,3aβ,4α,8aβ,9R*)]-",0,0,0,0,0,0.0115050864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trifluorobenzene",0,0,0,0,0,0,0.0077925042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trithiolane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467551705,0,0,0,0,0,0,0.022330911,0,0,0.011193749
"1,2,4,5-Tetrazin-3-amine, 6-methyl-",0,0,0,0,0.63344516545,0,0,0,0,0,0,0,0,0,0,0,0,0,1.371065382,0,0,0,0,0,0,0,0,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0.0196039205,0,0,0.0413779844666667,0,0.30508122105,0,0,0.0180878633333333,0.01425194325,0.01353537735,0,0.00992796585,0,0,0,0,0,0,0.0216774865333333,0,0,0,0,0,0,0,0,0
"1,2,5-Oxadiazole-3-carboxamide, 4-amino-N-[2-[[[4-(methylthio)phenyl]methyl]amino]ethyl]-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001546184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,5-Thiadiazole, 3-methyl-",0,0,0,0.00756266333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Butadiene, 1,1,2,3,4,4-hexachloro-",0,0,0,0,0,0,0,0,0,0,0,0.003637885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Butadiyne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509747974666667
"1,3-Cyclohexadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006336071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",0,0,0,0.0126109836,0,0,0,0,0.028860737,0.0105157957,0,0,0,0.0142338196666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Cyclohexadiene, 1,3,5,5,6,6-hexamethyl-",0,0,0,0,0,0,0,0,0.0236133973333333,0,0,0,0,0,0,0,0,0,0.045652353,0,0,0,0,0,0,0.0942081,0,0,0.155525303333333
"1,3-Cyclohexadiene, 1,5,5,6-tetramethyl-",0,0,0,0,0.00149245585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Cyclopentadiene",0,0,0,0,0.0135494391,0,0,0,0,0.01515860975,0,0.169787873666667,0,0,0,0,0,0,0,0,0,0,0.101716777333333,0,0,0.050522556,0,0,0.157662441
