"","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34"
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0,0,0,0,0,0,0,0,0,0.0038163463,0,0,0,0,0,0.0032081823
"2,5-Difluorobenzaldehyde",0,0.00723039743333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, 5-ethyldihydro-",0,0,0,0,0,0,0,0,0,0.00356424013333333,0,0.00479074396666667,0.00295468046666667,0,0,0.00435712646666667
"2(5H)-Furanone",0,0,0,0,0,0,0,0,0,0,0.0107819267,0.00496808456666667,0,0,0,0
"2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-",0.00168258003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Tetrazole, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.0028183512,0,0,0,0,0
"3-Aminopropionitrile",0,0,0,0,0,0,0.0675764416333333,0,0.916521601,0,3.4419631819,0,0,0,0.0273557089666667,0
"3-Buten-1-ol, 3-methyl-",0,0,0,0,0,0,0,0,0.00661925456666667,0.0140014193333333,0.0275298013666667,0.0145618277666667,0.00316946466666667,0,0,0
"3-Carene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001391209
"3-Dodecene",0.0009611644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Furaldehyde",0.000776018433333333,0,0,0,0,0,0,0,0,0,0,0.00501028946666667,0,0,0,0
"3-Hexen-1-ol",0,0.020272122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Hexene",0.00288656416666667,0.0046180159,0,0,0,0,0,0,0,0,0.0986041147,0,0,0,0.0112586216,0
"3-Methoxybut-1-ene",0,0,0,0,0,0,0,0.00293924003333333,0,0,0,0,0,0,0,0
"3-Methyl-1,2-diazirine",0,0,0.00806029826666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Octanol",0.0642446776333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Octanone",0.4858439175,0,0,0.0061002764,0.032051064,0,0,0,0,0,0.0254057748333333,0,0,0,0,0
"3-Octene",0,0.00941963433333333,0,0.00998651596666667,0,0,0,0,0,0,0,0,0,0,0,0
"3-Pentanone",0.0526464720666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Penten-2-ol",0,0,0,0,0,0,0,0,0,0,0,0.000772389333333333,0,0,0,0
"3-Trifluoroacetoxypentadecane",0,0,0,0,0,0,0,0,0.0027547652,0,0,0,0,0,0,0
"3,5-Dithiahexanol 5,5-dioxide",0,0,0,0,0,0,0,0.00480481633333333,0,0,0,0,0,0,0,0
"4-Carene, (1S,3R,6R)-(-)-",0,0,0,0,0,0,0,0,0.00877148633333333,0,0,0,0,0,0,0
"4-Cyclopentene-1,3-dione",0,0.00159167183333333,0,0,0,0,0,0,0,0,0,0,0.00121439746666667,0,0,0
"4-Dodecene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874871446666667
"4-Nonene",0,0.0105259147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Hepten-2-one, 6-methyl-",0.0270428450333333,0.0150363477666667,0,0,0,0.0349637933333333,0,0,0,0,0,0,0.0101452218,0,0,0
"Acetaldehyde",0.539986431133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetamide, 2,2,2-trifluoro-N-methyl-",0,0,0,0,0,0,0,0,0,0,0.00232496443333333,0,0,0,0,0
"Acetic acid",0,0,0,0,0.0125864163333333,0,0.0140367472333333,0,0,0,0,0,0,0,0,0
"Acetic acid, hydrazide",0,0,0.0953231852666667,0,0,0,0,0,0,0,0.346379333933333,0,0,0,0,0
"Acetic acid, hydroxy-",0,0,0,0,0,0,0.0820279438666667,0,0,0,0,0,0,0,0,0
"Acetic acid, methyl ester",0,0,0.287999723666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetic anhydride",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235089858
"Acetonitrile, (dimethylamino)-",0,0,0,0,0,0,0.0050621084,0,0.271726319166667,0.310429352866667,0.702111220933333,0,0,0,0,0
"Acetonitrile, hydroxy-",0,0,0,0,0,0,0,0,0,0.468032078066667,0,0.4602104027,0,0,0,0
"Acetonitrile,2-(methylimino)",0,0,0,0,0,0,0,0,0,0.065641152,0.0247018911666667,0.0377782503,0,0,0,0
"Acetophenone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602973836666667
"Aminomethanesulfonic acid",0,0,0,0,0,0,0,0.00431223246666667,0,0,0,0,0,0,0,0.269854318966667
"Aniline",0,0,0,0,0,0.00299964233333333,0,0,0,0,0,0,0.00267884396666667,0,0,0
"Anisole",0,0,0,0,0,0,0.0029171942,0,0.0603018474,0.105677828266667,0.108814013933333,0.182430374333333,0,0.0150768981333333,0.0209944495666667,0
"Argon",0,0,0,0.141440619533333,0,0,0,0,0,0,0,0,0,0,0,0
"Azetidine, 1,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.1821725799,0,0,0,0,0
"Benzaldehyde",0,0,0,0,0,0,0,0,0.170351570566667,0,0,0,0,0,0,0
"Benzaldehyde, 2-hydroxy-",0,0,0,0,0,0,0,0,0,0,0.00322574516666667,0.0040794968,0,0,0,0
"Benzaldehyde, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.00640006276666667,0,0,0,0,0
"Benzene, (1-butylheptyl)-",0.00599498436666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0101642999,0.0347822366,0
