"","D6d0","D6d1","D6d2","D6d3","D6d4","D6d5","D6d6","D6d7","D6d8","D6d9","D6d10","D6d11","D6d13","D6d15","D6d17","D6d20","D6d22","D6d24","D6d27","D6d29","D6d45","D6d51","D6d59","D6d66","D6d73"
"1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.0085002924,0.507005646666667,0.177854027666667,0.1327761879,0.118396913766667,0.278421072833333,0.0768635007333333,0,0.0308183449666667,0.0277022541,0,0.1332061083,0.0187304617333333,0.0182477864,0
"1,2-Ethanediol",0,0,0,0,0,0,0,0,0,0,0,0,0.541807028333333,0,0.214886950933333,0.2229582448,1.0457355012,0.472549649666667,0,1.68953062293333,0,0.42308320065,0,0,0
"1,2-Ethanediol, monoformate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785455257,0,0.01491378745,0,0,0
"1,2,4-Trifluorobenzene",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2037740967,0,0,0,0,0,0,0,0,0,0,0
"1,3-Cyclohexadiene-1-carboxylic acid, 2,6,6-trimethyl-, ethyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01485981605,0,0,0
"1,3-Cyclohexadiene, 1,3,5,5,6,6-hexamethyl-",0,0,0,0,0,0,0,0,0,0,0,0.0787959273333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-di-iso-propylnaphthalene",0,0,0,0,0,0,0,0,0,0,0,0,0.006092531,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Diazine",0,0,0,0,0,0,0,0,0,0,0,0.018938884,0.0258529056666667,0,0.0149414320666667,0.0317526888333333,0.113617105633333,0,0,0,0.0024871574,0,0,0,0
"1,3-Dioxan-5-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159693659,0,0.0522281195,0,0,0,0,0,0,0,0,0
"1,3-Dioxan-5-ol, 4,4,5-trimethyl-",0,0,0,0.00297551206666667,0,0,0,0,0,0.00455172066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Dioxolane",0,0,0,0,0,0,0,0,0,0.0099734978,0,0.0191792593333333,0,0,0,0,0,0,0,0,0,0.00817718345,0,0.00889641633333333,0.009021597
"1,3-Dioxolane, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194538448,0,0,0,0,0,0
"1,3-Oxathiane",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00738261333333333,0,0.0229867412,0,0,0,0.0275722682666667,0,0,0,0,0
"1,3-Pentadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354063833333333
"1,3-Propanediol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317083335933333,0,0.195882830766667,0.109517394066667,0,0,0,0,0
"1,3,2-Dioxaborolan-4-one, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00385232293333333,0,0,0,0,0,0
"1,3,5-Triazine",0,0,0,0,0,0,0,0,0,0,0.0032996756,0,0,0,0,0.1744863756,0,0,0,0,0,0,0,0.0583549293,0
"1,3,5-Trifluorobenzene",0,0,0,0,0,0,0,0,0,0,0,0.265680879333333,0,0,0,0,0,0,0,0,0,0,0,0,0
