"Name","foot1_SS2","foot1_SS3","foot1_SS4","foot1_SS5","foot1_SS6","foot2_SS2","foot2_SS3","foot2_SS4","foot2_SS5","foot2_SS6","foot3_SS5","foot3_SS6","foot4_SS5","foot4_SS6","foot5_SS2","foot5_SS3","foot5_SS4","foot5_SS5","foot5_SS6","foot6_SS5","foot6_SS6","foot7_SS5","foot7_SS6","foot8_SS4","foot8_SS5","foot8_SS6","foot9_SS4","foot9_SS5","foot9_SS6","Tissue1_SS2","Tissue1_SS3","Tissue1_SS4","Tissue1_SS5","Tissue1_SS6","Tissue2_SS2","Tissue2_SS3","Tissue2_SS4","Tissue2_SS5","Tissue2_SS6","Tissue3_SS5","Tissue3_SS6","Bone1SS2","Bone1SS3","Bone1SS4","Bone1SS5","Bone1SS6","Bone2SS2","Bone2SS3","Bone2SS4","Bone2SS5","Bone2SS6","Bone3SS5","Bone3SS6","Bone4SS4","Bone4SS5","Bone4SS6","Bone5SS4","Bone5SS5","Bone5SS6","Bone6SS5","Bone6SS6","Bone7SS5","Bone7SS6","Blood1SS2","Blood1SS3","Blood1SS4","Blood1SS5","Blood1SS6","Blood2SS2","Blood2SS3","Blood2SS4","Blood2SS5","Blood2SS6","Blood3SS5","Blood3SS6","Teeth1SS2","Teeth1SS3","Teeth1SS4","FootB_SS3","FootB_SS4","FootB_SS6","FootB_SS6Indoor","FootR_SS3","FootR_SS4","FootR_SS6","FootS_SS3"
"2-Octenal",0.01392353925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020522212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01189837905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethyl-3,5-dimethyl-",0.0066435812,0,0,0,0,0,0,0,0,0.4204020263,0.32167009865,0,0,0,0,0,0,0,0,0.0714932099333333,0,0,0,0,0,0,0,0,0,0.005021987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04016908165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723534426666667,0,0,0,0,0,0,0,0,0,0,0,0
"2-Nonanone",0.00690078855,0,0,0,0,0.1160053155,0.321814542466667,0,0.896732958333333,0,0,0.273311976666667,0,0,0.0166781031,0,0,0,0,0,0,0,0,0.00404713965,0,0,0.0075493352,0,0,0,0.0934856842333333,0,0,0,0,0.00902231366666667,0,0,0,0,0,0,0.0243773107,0,0,0,0.0053337004,0,0,0,0,0,0,0.00345982405,0,0,0.0114299104333333,0.270307757066667,0,0,0,0,0,0.016757487,0,0,0,0,0,0.0259025557,0,0,0,0,0,0,0.0170643074333333,0,0,0,0,0,0,0,0,0
"Naphthalene, 2-methyl-",0.0080737867,0,0,0.109007207466667,0,0,0,0,0,0,0,0.127605347666667,0.23719001535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00554265733333333,0,0,0,0,0,0,0,0,0,0,0,0
"Phenol, 2-(1,1-dimethylethyl)-",0.00631320535,0,0,0,0.00373780685,0,0,0,0,0.012515842,0,0,0,0,0,0,0,0,0,0,0,0,0.0156785543333333,0,0,0.006122493,0,0,0.00790314266666667,0,0,0,0,0.00227732933333333,0,0,0,0,0.005370085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013816282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodecane, 1-iodo-",0.03400273135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044332926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294200745,0,0,0,0,0.0016571343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-(p-Tolyl)-2-methyl-2-heptenol, trans-",0.04206059335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1237284109,0,0,0,0,0,0,0,0,0,0
"Phenol, 2,4,6-tri-tert-butyl-",0.00896060225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004262588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006827914
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",0.0107817798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005109231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079893155,0,0,0,0,0,0,0,0,0,0,0,0.0008558658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008281365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]-",0.0072116713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043401291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
