"","Tissue1_SS2","Tissue1_SS3","Tissue1_SS4","Tissue1_SS5","Tissue1_SS6","Tissue2_SS2","Tissue2_SS3","Tissue2_SS4","Tissue2_SS5","Tissue2_SS6","Tissue3_SS5","Tissue3_SS6"
"Benzene, 1,2,3,4-tetrafluoro-",0,0,0,0,0,0,0.0328310106666667,0,0,0,0,0
"Benzene, 1,2,3,5-tetramethyl-",0,0,0,0,0,0.00822697675,0,0,0,0,0,0
"Benzene, 1,2,4,5-tetrafluoro-3-(trifluoromethyl)-",0.00134934755,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,3-diethyl-",0,0,0,0,0,0,0,0,0,0,0.0456556753,0
"Benzene, 1,3-dimethyl-",0,0,0,0,0,0,0,0,0,0.627568731,0,0
"Benzene, 1,3-dimethyl-5-(1-methylethyl)-",0,0,0,0,0,0,0,0,0.00477995473333333,0,0,0
"Benzene, 2-ethyl-1,4-dimethyl-",0.00451077955,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 2-propenyl-",0.00097771595,0,0.001221109,0,0,0,0,0,0,0,0,0
"Benzene, 2,4-diethyl-1-methyl-",0,0,0,0,0,0.0031843234,0,0,0,0,0.0240876889666667,0
"Benzene, 4-ethenyl-1,2-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.0162822234,0
"Benzene, cyclopropyl-",0,0,0,0,0,0,0,0,0,0,0,0.0104664116666667
"Benzene, iodo-",0,0,0,0,0,0,0.012902205,0,0,0,0.00225605006666667,0
"Benzene, n-butyl-",0,0,0,0,0.0137568866666667,0,0,0,0,0,0,0
"Benzene, pentamethyl-",0,0,0,0.00410850433333333,0,0,0,0,0,0,0,0
"Benzene, pentyl-",0,0,0,0,0,0,0.0194105446666667,0,0,0,0,0
"Benzene, tert-butyl-",0,0.0036374682,0,0,0,0,0.003766771,0,0,0,0,0
"Benzeneacetaldehyde",0,0,0,0,0,0.0076483963,0,0,0,0,0,0
"Benzofuran, 2-methyl-",0,0,0,0,0,0.005789494,0,0,0,0,0,0
