"","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38"
"Benzene, n-butyl-",0,0,0.00546490343333333,0,0,0,0,0,0,0,0,0,0.00389117206666667,0
"Benzene,1-chloro-3,5-difluoro-",0,0,0,0,0.00385201723333333,0,0,0,0,0,0,0,0,0.0081211923
"Benzofuran",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620673416666667
"Benzofuran, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0035162526,0
"Benzoic acid, methyl ester",0,0,0,0,0,0,0,0,0,0,0,0.00766899773333333,0,0
"Benzophenone",0.00300518336666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzyl alcohol",0,0,0,0,0,0,0,0,0,0,0,0.00685459186666667,0,0
"Bicyclo[2.2.1]heptan-2-one, 1,7,7-trimethyl-, (1S)-",0.00170815513333333,0,0,0,0,0,0,0,0,0,0.0041100637,0,0,0
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0,0,0,0.0030031725,0,0,0,0,0,0,0,0,0,0
"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-",0.00173408163333333,0,0,0,0,0,0.002376952,0,0,0,0,0,0,0
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149349946666667
"Biphenyl",0,0,0,0,0,0,0,0,0,0,0,0,0.00457316413333333,0
"Butanal, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00662539243333333,0
"Butane, 1-chloro-",0,0,0.00257598673333333,0,0,0,0,0,0.00220421743333333,0,0,0,0,0
"Butane, 1-methoxy-",0,0,0,0,0,0,0,0,0,0,0,0,0.0071070752,0.00280048106666667
"Butane, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0110480983,0.0352104986
"Butane, 2,2,3,3-tetramethyl-",0,0,0,0,0,0,0,0,0,0.00102058303333333,0,0,0,0
"Butane,1,2,4-trichloro-heptafluoro-",0,0,0,0,0,0,0,0,0.0432556809,0,0,0,0,0
"Butanenitrile",0,0.0033734528,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrolactone",0,0,0,0,0.0241687070333333,0,0,0,0,0,0,0,0,0
"Camphene",0,0,0.00128674856666667,0,0,0,0,0,0.00129410433333333,0,0,0,0.00177947023333333,0
"Carbon disulfide",0,0,0,0,0.0758728294666667,0,0,0,0,0,0,0,0,0
"Carbonic acid, dimethyl ester",0,0,0,0,0,0,0,0,0.00691985996666667,0,0,0,0,0
"Carbonic acid, eicosyl vinyl ester",0,0,0,0,0,0.0039919783,0,0,0,0,0,0.0171448630333333,0.00660120436666667,0
"Carbonyl sulfide",0,0,0,0,0,0.0008699779,0,0,0,0,0,0,0,0
"Cyclohexane",0,0.00809005313333333,0,0,0,0,0,0,0,0,0,0,0,0.00463090203333333
"Cyclohexane, ethyl-",0,0,0,0,0,0,0,0,0,0,0,0.00218499626666667,0,0
"Cyclohexane, methyl-",0,0,0.0062249342,0,0,0,0,0,0,0,0.00528836286666667,0,0,0
"Cyclohexanone",0,0.0067976952,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclohexene",0,0,0,0,0,0.0030034157,0,0,0,0,0,0.00417611453333333,0,0
"Cyclopentanone, 2-methyl-",0.00355619323333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclopentene, 1-methyl-",0,0,0,0.00229806383333333,0,0,0,0,0,0,0,0,0,0
"Cyclopentene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0018856267,0
"Cyclopropane, 1-ethyl-2-methyl-, cis-",0.0177649472,0,0,0,0,0,0,0,0.0237912661666667,0,0,0,0,0
"Decane",0,0,0,0.00642917516666667,0,0,0,0,0,0,0,0,0,0
"Decane, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0.00248534763333333,0,0
"Diacetyl sulphide",0,0,0,0,0,0,0,0,0,0,0,0.0226249711,0,0
"Dibutyl phthalate",0,0,0,0,0,0,0,0,0,0.00398883533333333,0,0,0,0
"Diethyl azodicarboxylate",0,0,0,0.0744962574666667,0,0,0,0.134234975433333,0,0,0.020625139,0,0,0
"Diethyl Phthalate",0.000995547133333333,0,0,0,0,0,0,0,0,0,0,0,0.00176376583333333,0
"Diethyltoluamide",0,0,0,0,0,0.0109180553666667,0,0,0,0,0,0,0,0
"Dimethyl ether",0,0,0,0,0.0812136771,0,0,0,0,0.215713747933333,0,0,0.00379952346666667,0.0164692028666667
"Dimethyl trisulfide",0,0,0,0,0,0,0,0,0,0,0.00434269486666667,0,0.0008867858,0
"Diphenyl sulfide",0,0,0,0,0.0160849273,0,0,0,0,0,0,0,0,0
"Disulfide, dimethyl",0,0,0,0,0,0,0,0,0,0.0057749383,0.0864577667333333,0,0.0419165831333333,0
"Dodecane",0,0,0,0,0,0,0.0148543411666667,0,0,0,0,0,0,0
"Eicosane",0,0,0,0.00939811456666667,0,0.00232043726666667,0,0,0,0,0,0,0,0
"Ethane",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677305313333333
"Ethane, iodo-",0,0,0.0072068512,0,0,0,0.011225014,0.0028833429,0,0,0,0,0,0
"Ethanol, 2-butoxy-",0,0,0,0,0,0,0,0,0,0,0,0,0.00242904803333333,0
"Ethanol, 2-ethoxy-",0,0,0,0,0,0,0,0,0.00260570153333333,0,0,0,0.00533526626666667,0
"Ethanol, 2-methoxy-",0,0,0,0,0,0,0,0,0,0,0,0,0.00803904696666667,0
"Ethanol, 2,2,2-trifluoro-",0,0,0,0,0.0874325898666667,0,0,0,0,0,0,0,0,0
"Ethanone, 1-(2-furanyl)-",0,0,0,0,0.0020057037,0,0,0,0,0,0,0,0,0
"Ethanone, 1-(4-fluorophenyl)-",0,0,0,0,0.0044549296,0,0,0,0,0,0,0,0,0
"Ether, 1-butylvinyl methyl",0,0,0,0,0,0,0,0,0,0,0,0,0.00126281636666667,0
"Ethyl Acetate",0.5208281309,0,0,0,0,0.0258162153333333,0,0,0,0,0,0,0,0
"Ethyl formate",0.045949429,0,0,0,0,0,0,0,0,0,0,0,0,0
"Furan, 2,3-dihydro-",0,0,0,0,0,0,0,0,0,0.0023616246,0,0,0,0
"Furan, tetrahydro-2-methyl-",0,0,0,0,0,0.000930849866666667,0,0,0,0,0,0,0,0
"Glycolaldehyde dimer",0,0,0,0,0,0,0.0352222175,0,0,0,0,0.0320450968333333,0,0.0152013403666667
"Heneicosane",0,0,0,0.0110826591333333,0,0,0,0,0,0,0,0,0,0
"Heptacosan-9-ol",0,0,0,0.00970222016666667,0,0,0,0,0.00348440216666667,0,0,0,0,0
"Heptanal",0,0,0,0,0,0,0,0,0,0,0,0.0169052522,0,0
"Heptane",0.0192251552,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heptane, 1-chloro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013910559
"Heptane, 2-methyl-",0,0.0047002319,0.00282312456666667,0.00206222883333333,0,0,0,0,0,0,0,0,0,0
"Heptane, 3-methyl-",0,0,0,0,0,0,0,0,0,0.0048275526,0,0,0,0
"Heptylcyclohexane",0,0,0,0,0,0,0,0,0,0.00100064343333333,0,0,0,0
"Hexacosane",0,0,0,0,0,0,0,0,0,0,0,0,0.0066686722,0
"Hexane, 2,3-dimethyl-",0,0,0,0,0,0,0,0,0,0.00189672596666667,0,0,0,0
"Hexanoic acid, ethyl ester",0.00166248613333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrazine",0,0,0,0,0,0,0,0.0858916980666667,0,0,0,0,0,0
"Indane",0,0,0,0,0,0,0,0,0,0.000811452,0,0,0,0
"Isobutane",0,0,0,0,0,0,0,0,0,0.00995516946666667,0,0,0,0
"Isoserine",0,0,0,0,0.0065408297,0,0,0,0,0,0,0,0,0
"L-Alanine, 3-sulfo-",0,0,0,0,0,0.00331867286666667,0,0,0,0.0376626138333333,0,0,0,0.224466462333333
"L-Cysteine sulfinic acid",0,0,0,0,0,0,0,0,0,0.023843735,0,0,0,0
"l-Norvaline, N-ethoxycarbonyl-, nonyl ester",0,0,0,0,0.00600350056666667,0,0,0,0,0,0,0,0,0
"Manganese, acetylpentacarbonyl-, (OC-6-21)-",0,0,0,0,0,0,0,0,0,0,0.0213104032666667,0,0,0
"Mesitylene",0,0,0,0,0,0,0,0,0,0,0,0,0.0070992215,0
"Methane, nitro-",0,0,0,0,0,0,0,0,0,0.0011159848,0,0,0,0
"Methanesulfonyl chloride",0,0,0,0,0,0.00206129413333333,0,0,0,0,0,0,0,0
"Methenamine",0,0,0,0,0,0,0,0,0,0,0.116696019933333,0,0.188739803633333,0.061815079
"Methyl formate",0,0,0,0,0,0.0285869636,0,0,0,0,0,0,0,0
"Methyl isobutyrate",0,0,0.00201695606666667,0,0,0,0,0,0,0,0,0,0.00151640676666667,0
"Methylamine, N,N-dimethyl-",0,0,0,0,0,0,0,0,0,0.0129255353333333,0.140967882733333,0,0.0142715699666667,0.0468497085666667
"Methylene chloride",0,0.0098962439,0,0,0.00334865406666667,0,0,0,0,0,0,0,0,0
"n-Propyl acetate",0,0,0,0,0,0,0,0,0,0.0297575043333333,0,0,0,0
"N-α,N-ω-Di-cbz-L-arginine",0,0,0,0,0,0,0,0,0,0.0156248610333333,0,0,0,0
