"","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72"
"1,4-Dioxane, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0.00974334246666667,0,0,0.0378763802,0,0,0,0,0,0,0
"1,4-Dioxin, 2,3-dihydro-",0,0.0084191447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,5-Dimethyl-6-oxa-bicyclo[3.1.0]hexane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683447343333333,0,0,0,0,0,0
"1,6-Dioxaspiro[4.4]nonane, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354210357666667,0,0,0.00510143216666667,0.0889530160333333,0,0
"12-Crown-4",0,0.00565392366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Methylaminolauric acid",0,0,0,0,0,0,0,0,0,0,0,0.0675254677666667,0,0.0126418569666667,0,0,0,0,0,0,0,0
"1H-Indene, 2,3-dihydro-1,1,2,3,3-pentamethyl-",0,0.0140910561333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Pyrazolo[3,4-d]pyrimidin-4-amine",0,0,0,0,0,0,0,0,0,0.0291969374,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-butyl-",0,0,0,0,0,0.00907789566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-methyl-",0,0,0,0,0,0.0199110833333333,0,0.0120243302,0,0,0,0,0.0735326345666667,0,0.030258645,0.0481005262333333,0.0468736558666667,0.167534795,0,0,0,0
"1H-Pyrrole, 2-methyl-",0,0,0.00967454123333333,0,0.0109597688666667,0.0254287836666667,0,0,0.00897550773333333,0,0,0,0,0.0136088767666667,0,0,0,0,0,0,0.0212677561,0.0199531260666667
"1H-Pyrrole, 2,5-dimethyl-",0,0,0,0,0,0,0,0.0551689393333333,0,0,0,0,0,0,0.0048586063,0.00271759676666667,0,0,0,0,0,0
"2-Amino-1,3-propanediol",0,0,0,0,0,0,0,0.0116966995666667,0.00928726,0.0340372529,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butanol",0,0,0,0,0,0,0,0.5487095283,0.4451963099,0.713307559533333,0,0.708006674966667,3.41515057846667,0.513543633033333,0.5539359742,0.424542857466667,0,0.545091148666667,0.101804895633333,0.222723869566667,0.0474723292,0.0726755318666667
"2-Butanone, 3-methyl-",0,0,0,0,0,0,0,0.8872353841,0.8232223635,0,0,0.589146956366667,1.97962331426667,0.218125598033333,0.3946605654,0.3253055097,0.3091769087,0.896984245,0,0,0.154520712366667,0.134082672533333
"2-Butanone, 3,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475601073333333,0,0,0,0,0,0,0
"2-Butenal, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214379626666667,0,0,0,0,0,0
"2-Butene",0,0,0,0,0,0.0942031276666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butene, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.4166485328,0,0,0,0,0,0,0,0,0
"2-Chloroethanol",0.728250116333333,0,0,0,0,0,0,1.13729984803333,0,0,1.06380249766667,0.6691834734,0,0,0,0.23062871,0,0.424167428333333,0,0,0,0
"2-Cyclohexen-1-one",0,0,0,0,0,0,0,0.0040908074,0.0042426422,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclohexen-1-one, 3-methyl-",0,0,0,0,0,0,0,0.0032337444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclohexene-1-methanol, 2,6,6-trimethyl-",0,0,0,0,0,0,0.00344692126666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307663993333333,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one, 2-methyl-",0,0,0,0,0,0,0,0,0,0.00208551606666667,0,0,0,0,0,0,0,0.0128356216666667,0,0,0,0
"2-Decanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113029596333333,0.0689473087666667,0,0,0,0,0
"2-Decen-1-ol",0,0.0209303377666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Ethylacrolein",0,0,0,0,0,0,0,0,0,0.0369755083666667,0,0,0,0,0,0,0,0,0,0,0,0
"2-Fluoro-3-(trifluoromethyl)phenol",0.00281874883333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192871646333333,0,0
"2-Furancarbonitrile",0,0,0,0,0,0,0.000985405066666667,0.0020374555,0.00143056093333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Heptanol",0,0,0,0,0,0,0,0.0346240186666667,0.0166163986,0,0,0.0840789294333333,0.296561437633333,0.0321585125,0.0270415504666667,0.0419804017,0,0.128997419666667,0.0584912915,0.0660640583333333,0,0
"2-Heptanone",0,0,0,0,0,0,0,0,0,0,0.818726453766667,0,0,0,0,0,0,0,0,0,0,0.0950921267666667
"2-Heptanone, 6-methyl-",0,0,0,0,0,0,0,0,0,0,0.00828833893333333,0.0105620695333333,0,0,0.00958089113333333,0.00511813873333333,0.00568740933333333,0.0420301406666667,0,0,0,0
"2-Heptenal",0,0,0,0,0,0,0,0.0327996601333333,0,0,0,0,0,0,0,0.0464739792666667,0,0,0.0414743258666667,0,0,0
"2-Heptene, 5-methyl-",0,0.00680960293333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Hexanol",0,0,0,0,0,0,0,0.0302135856666667,0.0109923654333333,0.00979418063333333,0.0126797538666667,0.00569733226666667,0.0235664513666667,0,0.0052751725,0.00438604533333333,0,0.028067903,0.0266477313666667,0.0413113710666667,0,0
"2-Hexanone",0,0,0,0,0,0,0,0,0,0.0565198059333333,0.0704426712333333,0.0847316678,0,0,0,0,0,0,0.237554646066667,0,0,0
"2-Hexanone, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00545200946666667,0.0126548469,0,0,0,0,0,0,0
"2-Hexanone, 5-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169676342,0,0,0,0,0,0,0
"2-Hexen-1-ol",0,0,0,0,0,0,0,0,0,0,0,0.00232854286666667,0,0.00151678963333333,0.00331765423333333,0.00297132276666667,0.00286926293333333,0,0,0.00454690686666667,0,0
"2-Hexenal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145963359333333,0
"2-Hexene, 3,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162344194,0,0,0,0,0,0,0,0
"2-Hydroxy-3-hexanone",0,0,0,0,0,0,0,0,0.0124080577666667,0.0222272123666667,0,0.00744566916666667,0,0,0,0,0,0.019514957,0,0,0,0
"2-Hydroxy-3-pentanone",0,0,0,0,0,0,0,0.0938160858,0.0387624491,0.0380066192,0.00884917923333333,0,0,0,0,0,0,0,0,0,0,0
"2-Methyl-3-propylpyrazine",0,0,0,0,0,0,0,0.0044112571,0,0,0.0095495588,0,0.0131170010333333,0,0,0,0,0,0,0,0,0
"2-n-Butyl furan",0,0,0,0,0,0,0,0,0,0.008577151,0.00856510546666667,0,0,0.007635082,0.0218114718333333,0.0280226835666667,0.0245422722,0,0,0,0,0
"2-Nonanone",0,0,0,0,0,0,0,0.175284601133333,0,0,0,0.239511318833333,0,0.1224610792,0.265925415366667,0,0.219976704233333,0.811922125333333,0,0,0,0
"2-Nonenal",0,0,0,0,0,0,0.006686928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
